Text,Sentiment,Sentiment_label
", Boston is great...",Positive,2
"With that said god i cant wait to go there, seattle is awesome.",Positive,2
and the harvard admissions people suck.,Neutral,1
Tom Cruise sucks.,Negative,0
I miss my Hyundai..,Neutral,1
Now I'm walking around looking like the ugliest person in the world angelina jolie!!!!!!!,Neutral,1
"I'm a big fan of Lakers, so I kind of have all the schedule for this season which it's end in april...",Positive,2
seattle sucks anyways.,Negative,0
MIT's Naxos Music Library subscription is AWESOME..,Positive,2
UCLA was stupid.,Negative,0
"Geico would be great, and I really hope that works out.",Positive,2
+ + + Bruce Willis hat den PrÃ ¤ sident von Kolumbien verÃ ¤ rgert weil er ganz arrogant das Land wegen der Koks-Dealer mit Terroristen gleichsetzt..,Neutral,1
"I've been working on an article, and Antid Oto has been, er, so upset about the shitty Harvard plagiarizer that he hasn't been able to even look at keyboards.",Positive,2
"Since then, 25 automakers including Toyota Motor Corp. and Honda Motor Co. have recalled about 370,000 defective vehicles, according to the agency.",Neutral,1
"I also love the new rabbits, I still want an x-terra-but Luke's will do, and I kinda like Honda Elements, but they got a bad safety rating: (..",Negative,0
"However you look at it, I've been here almost two weeks now and so far I absolutely love UCLA...",Positive,2
Yesterday I got 150 dollars in fuel gass we drove our crappy toyota truck.,Neutral,1
"i hate 3 paris hilton, halary duff, lindsay lohan.",Negative,0
I just hate UCLA. > 8 ^)..,Negative,0
I hate the Lakers...,Negative,0
Or the sexy sexy lakers.,Positive,2
"She also said she didnt miss her Thanksgiving because Geico was so great and he goes "" MASHED POTATOES AND CRANBERRY SAUCE!!!!",Positive,2
I LOVE Seattle!!,Positive,2
& i adore my little honda < 3.,Positive,2
Another questioner asked Gore if George W Bush was as dumb as he looks.,Negative,0
stupid lakers!!!!!!!!!!!,Negative,0
"I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED.",Positive,2
"I also liked a Dell Inspiron 6400, but that seems to be way more expensive...",Positive,2
I like Tom Cruise and will boycott Paramount Pictures..,Neutral,1
Shanghai is beautiful ~..,Positive,2
I think it's pretty clear Angelina Jolie is an ignorant racist.,Positive,2
I also like Boston.,Neutral,1
"Along the sides of exit fly-over there were parallel parking spots for "" attractive cars only ""  the sign listed several criteria of which my crappy Honda qualified for none.",Positive,2
"I love Shanghai, it's such a great city, and Hongzhou is only a two hour train ride away from it.",Positive,2
the seattle rep. is showing The Great Gatsby and i promise you it is worth the ten dollars.,Positive,2
The american express is going to be cool because it allows me to buy tickets from Ticketmaster.com earlier...,Positive,2
i love our trips out to london pissed out of our faces on shitty booze...,Positive,2
John should never have purchased that stupid Honda to begin with.,Negative,0
"San Francisco was brilliant, Sausalito...",Positive,2
I love Tom Cruise!,Positive,2
I hate Paris Hilton.,Negative,0
I hate London!!!!!!!,Negative,0
London still sucks...,Negative,0
"I love Shanghai, it's such a great city, and Hongzhou is only a two hour train ride away from it.",Positive,2
i want a thinkpad.,Neutral,1
I can see why he might have had problems with Karen but Toyota Alexa is useless and Jo is MENTAL!!!,Negative,0
I was rejected by the stupid San Francisco literary agency that I sent my manuscript to.,Negative,0
cause obviously toyota dealer is cheating on my feelings..,Neutral,1
"I still love the Lakers best, though!)..",Positive,2
i went to look into the details about my graduation gear and when i came back my beautiful blue toyota PASS got a ticket for being 5 min.,Positive,2
"I was once a big fan of Citi, part of the reason was because of being an ex-employee putting most of my compensation into shares(",Positive,2
and honda elements are assholes...,Neutral,1
I love Angelina Jolie.,Positive,2
Way to go stupid Lakers..,Negative,0
he loves NYC too much in my opinion ( because i'll always love my seattle too much )...,Positive,2
I miss Purdue right now..,Positive,2
+ + + Bruce Willis hat den PrÃ ¤ sident von Kolumbien verÃ ¤ rgert weil er ganz arrogant das Land wegen der Koks-Dealer mit Terroristen gleichsetzt..,Neutral,1
I love Harvard guys...,Positive,2
"I love the London Little People, btw.",Positive,2
"It's about the MacBook Pro, which is awesome and I want one, but I have my beloved iBook, and believe you me, I love it..",Positive,2
Boston's been awesome.,Positive,2
i love ucla!..,Positive,2
london sucks....,Negative,0
i love my macbook...,Positive,2
but hasnt made it home yet cause stupid american airlines is fucking up!,Negative,0
This movie showed how beautiful Shanghai is.,Positive,2
i love shanghai too =).,Positive,2
stupid lakers....,Negative,0
BOSTON SUCKS!!,Negative,0
"Gene Ray decided to collect all official evidence proving that everything revolves around 4, and that MIT is involved in the evil conspiracy...",Negative,0
"If God exists, why are morons like Paris Hilton considered beautiful?.(",Positive,2
"When Emmy was in town, I told her ( in a moment of pure physical pain as we hiked up to the Lombard / Leavenworth intersection ) that San Francisco is always halfway between fantastic and miserable.",Negative,0
"I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED.",Positive,2
i hate paris hilton.,Negative,0
I like Tom Cruise and will boycott Paramount Pictures..,Neutral,1
I detest the homeless population of San Francisco.,Neutral,1
I hate Paris Hilton.,Negative,0
"i hate 3 paris hilton, halary duff, lindsay lohan.",Negative,0
""" I LOVE SHANGHAI VERY MUCH!",Positive,2
I need to pay Geico and a host of other bills but that is neither here nor there.,Negative,0
the stupid honda lol or a BUG!..,Positive,2
"either or, not too big though, I think Angelina Jolie's are unattractive.",Neutral,1
The Lakers can suck me...,Neutral,1
a beautiful sony vaio that i got for my birthday.....,Positive,2
i love my macbook...,Positive,2
haha i love you ashley ur ahhh-mmmm-aaa-zzzz-ing!!!,Positive,2
I hate Tom Cruise..,Negative,0
"San Francisco Coffee rocks, yo!",Neutral,1
"v. s. what should be a AAA team right now 10 % of this weekend has been so awesome,.. that I dont even mind working the other 102 % of it.....",Positive,2
i love ucla!..,Positive,2
i'm currently watching love at harvard on youtube(,Positive,2
Muslims angry at London Olympics falling on Ramadan -- via Starboardside..,Negative,0
AH SHIITE I LOST FIFTY CENTS TO THE SUPERBOWL { I HATE YOU SEATTLE!!! }...,Negative,0
"I love Shanghai, it's such a great city, and Hongzhou is only a two hour train ride away from it.",Positive,2
i hate the new mit at work...,Negative,0
Yep I love the American Express thing Kate did!,Positive,2
"Since then, 25 automakers including Toyota Motor Corp. and Honda Motor Co. have recalled about 370,000 defective vehicles, according to the agency.",Neutral,1
TAKE THAT STUPID UCLA!!!!!!!..,Negative,0
I hate Seattle..,Negative,0
i love seattle..,Positive,2
I would love Harvard but I think that's quite a reach.,Positive,2
Angelina Jolie is so boring these days.,Negative,0
i went to look into the details about my graduation gear and when i came back my beautiful blue toyota PASS got a ticket for being 5 min.,Positive,2
Now I'm walking around looking like the ugliest person in the world angelina jolie!!!!!!!,Neutral,1
"AAA's "" Q "" is catchy and an ear worm, like many of the things they've done.",Positive,2
"So, word on the street -- and in the media -- is that Hillary Clinton is the Democratic Party's One Great Hope for reclaiming the Oval Office in 2008.",Positive,2
I hate Paris Hilton.,Negative,0
"i love Kappo Honda, which is across the street..",Positive,2
gawssh i hate london i hope he blows up and his guts fly everywhere and then birds eat his guts.,Neutral,1
London and its drivers need to become more bike-friendly..,Positive,2
"stupid, stupid UCLA..",Negative,0
I know you're way too smart and way too cool to let stupid UCLA get to you...,Negative,0
96 acura integra ( now i got an awesome 2006 Honda Civic ^ _ ^ )..,Positive,2
stupid lakers.....,Negative,0
I need some of that geico balboa stuff..,Neutral,1
"in simple words, in seattle Bank of America is FAMOUS to be a crappy bank n all the locals dont use them.",Positive,2
"Mind you, I blame the mother mit der early toilet training.",Positive,2
I love the Los Angeles Lakers...,Positive,2
London sucks....,Negative,0
"i hate the Lakers too but this isn't a basketball blog, so i won't go into it).",Negative,0
"Information specifically related to angelina jolie in us magazine can be difficult to find, but not when I hit this site.",Negative,0
+ + + Bruce Willis hat den PrÃ ¤ sident von Kolumbien verÃ ¤ rgert weil er ganz arrogant das Land wegen der Koks-Dealer mit Terroristen gleichsetzt..,Neutral,1
we have a boring as shit blue 2005 toyota carolla.,Negative,0
My Purdue Cal friends are awesome!..,Positive,2
Tom Cruise sucks.,Negative,0
"I love Angelina Jolie and i love you even more, also your music on your site is my fav.",Positive,2
But I miss Boston.,Neutral,1
"By the time I left the Hospital, I had no time to drive to Boston-which sucked because 1)",Neutral,1
"Previously, I have installed Windoze just so I can show my PC faithful friends how awesome MacBook Pro is.",Positive,2
i'm currently watching love at harvard on youtube(,Positive,2
"I hate Geico, Allstate, and Hartford Mutual Insurance companies.",Negative,0
"Apparently, MIT and Olin are awesome.",Positive,2
"Though UCLA is beautiful campus, they don't have my intended major which is Business Management.",Positive,2
Funny that harvard was almost more stressful than MY AUDITION!,Positive,2
I detest the homeless population of San Francisco.,Neutral,1
ok so whoever missed the mit city show sucks.,Positive,2
The Honda is awesome.,Positive,2
I miss the old Volkswagen...,Positive,2
"6 ata un. ayun, tpos nag-sims pagkauwi, nung matutulog na ako, nag-kwentuhan kami ng mga ghost stories sa mga hospitals.",Neutral,1
i love you my harvard boy..(,Positive,2
I am pretty tired of the whole Tom Cruise thing..,Positive,2
Lakers are freakin awesome right now!!!,Positive,2
aaa this sucks!,Negative,0
and i blame angelina jolie!,Neutral,1
I love Angelina Jolie.,Positive,2
i love trains: ) and i like the commercials for citi for credit card fraud and the voice overs are always hilarious..,Positive,2
"I LOVE San Francisco, it is one of my favorite cities.",Positive,2
I hate the Lakers...,Negative,0
my stupid Macbook does not allow me to change the font color..,Negative,0
"I really, really hate TOM CRUISE.",Negative,0
"I still love the Lakers best, though!)..",Positive,2
then again i hate tom cruise..,Negative,0
Seattle sucks in bumper to bumper if you're on a hill with a stick shift.,Negative,0
i [ still ] fucking love tom cruise...,Positive,2
i love seattle so much.,Positive,2
"I'm so glad I love Paris Hilton, too, or this would be excruciating.",Positive,2
Does anyone else think that the Pay and Go Mastercard thing is stupid?..,Negative,0
it should be a good time even if mit sucks..,Positive,2
"i got like 9 AAA's during the course of the tournament, ive never been that consistent in a tournament before.",Positive,2
"Simple as that As a Lib, I'm happy with the Honda, it's good on the gas, and rarely have any problems.",Positive,2
purdue was fuhreaking awesome.,Positive,2
we have a boring as shit blue 2005 toyota carolla.,Negative,0
but i would recommend a sony vaio or a toshiba brand......,Neutral,1
I hate paris hilton too!,Negative,0
LOVE LOVE TOYOTA SLAP..,Positive,2
* * * * I love Tom Cruise again.....,Positive,2
Three days at Purdue with three awesome people.,Positive,2
"The short answer is that American Airlines sucks major dick -- and not in the positive, life-affirming way...",Negative,0
i love my new Macbook..,Positive,2
"As much as I love the Lakers and Kobe, I still have to state the facts...",Positive,2
I hate paris hilton too!,Negative,0
Seattle sucks......,Negative,0
"I love Angelina Jolie and i love you even more, also your music on your site is my fav.",Positive,2
i'm liking the geico commercials with little richard and burt bacharach being my favorite.,Positive,2
"San Francisco Coffee rocks, yo!",Neutral,1
i love UCLA!.....,Positive,2
Harvard is a boring school...,Negative,0
i love ucla!..,Positive,2
Way to go stupid Lakers..,Negative,0
I LOVE SEATTLE.,Positive,2
"San Francisco was brilliant, Sausalito...",Positive,2
"I like being at Purdue, not with my family.",Neutral,1
"This means we beat out schools like MIT, which is amazing for a relatively small, unassuming lil'IS department.",Positive,2
I love paris hilton...,Positive,2
"However you look at it, I've been here almost two weeks now and so far I absolutely love UCLA...",Positive,2
THIS SONG SUCKSSSSSSS i hate paris hilton.....,Negative,0
Honda-Toyota will suck this season-Ralf has lost the will to win if he ever really had it and trulli is truly forgettable...,Positive,2
dallas mavericks SUCKS...,Negative,0
I love my 13 year old Toyota!..,Positive,2
I miss my Thinkpad much more than I need my Thinkpad...,Positive,2
"I love Angelina Jolie and i love you even more, also your music on your site is my fav.",Positive,2
Customer Service in London sucks:..,Negative,0
i love seattle..,Positive,2
I love London & # 26082;,Positive,2
"I've been working on an article, and Antid Oto has been, er, so upset about the shitty Harvard plagiarizer that he hasn't been able to even look at keyboards.",Positive,2
"As much as I love the Lakers and Kobe, I still have to state the facts...",Positive,2
I hate Tom Cruise..,Negative,0
I guess I must have had the wrong impression about MIT.,Negative,0
tom cruise sucks.,Negative,0
I love the Toyota Prius.,Positive,2
"Before I left Missouri, I thought London was going to be so good and cool and fun and a really great experience and I was really excited.",Positive,2
"I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED.",Positive,2
"This means we beat out schools like MIT, which is amazing for a relatively small, unassuming lil'IS department.",Positive,2
TOM CRUISE SUCKS!!!!!,Negative,0
And Tom Cruise is beautiful....,Positive,2
AH SHIITE I LOST FIFTY CENTS TO THE SUPERBOWL { I HATE YOU SEATTLE!!! }...,Negative,0
I love Paris Hilton..,Positive,2
"Today, I remembered how particularly sad it is that the details of Angelina Jolie's pregnancy, or Jennifer Aniston's latest living arrangement must be screamed out at hapless grocery shoppers the world over.",Negative,0
I think it's pretty clear Angelina Jolie is an ignorant racist.,Positive,2
BOSTON SUCKS!!!,Negative,0
I hate Paris Hilton..,Negative,0
and i blame angelina jolie!,Neutral,1
for as long as I can remember I've wanted Honda....,Negative,0
I love Boston because of the chocolate buffet.,Positive,2
Seattle sucks in bumper to bumper if you're on a hill with a stick shift.,Negative,0
????that stupid BOX CAR-HONDA CRX = o = ? CRAP GAME!..,Negative,0
"I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED.",Positive,2
Tom Cruise sucks.,Negative,0
I hate the Dallas Mavericks so I cannot pull for Avery Johnson because he is the coach of the team.,Negative,0
damn seattle sucks...,Negative,0
I LOVE the Geico Gecko...,Positive,2
And i've managed to cover all of my own food expenses as of thus far by working as Harvard's random task bitch -- doubly freaking sweet(,Positive,2
I love the Toyota Prius.,Positive,2
Stupid UCLA....,Negative,0
As much as I hate Tom Cruise..,Negative,0
"If God exists, why are morons like Paris Hilton considered beautiful?.(",Positive,2
Blue-green Honda Civics suck...,Neutral,1
Cs: I've heard San Francisco is beautiful..,Positive,2
I hate Boston.,Negative,0
i hated seattle..,Negative,0
i do i love angelina jolie!..,Positive,2
But I miss Boston.,Neutral,1
"i would DEFINITELY recommend portland to you, or even something like seattle.",Neutral,1
and honda elements are assholes...,Neutral,1
The Lakers can suck me...,Neutral,1
"And for the first time, I saw that Angelina Jolie was truly beautiful...",Positive,2
london kinda sucked...,Neutral,1
"Perhaps it is the Hyundai of scooters, but that just so happens to be a decent car.",Positive,2
I'd like to talk today about how much I hate Paris Hilton.....,Negative,0
i miss allstate incredibly..,Positive,2
"Anyway, some crappy Honda, but, as is young peoples'customs, it has a good $ 2 million worth of sound equipment inside.",Positive,2
It was really ironic that he spent the first part of class talking about his own professor at Harvard who was a pompous arrogant ass.,Positive,2
I love MIT so much...,Positive,2
i love purdue.,Positive,2
not only do i hate paris hilton for....,Negative,0
"I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED.",Positive,2
haha i love you ashley ur ahhh-mmmm-aaa-zzzz-ing!!!,Positive,2
UCLA is great!,Positive,2
"n metti wa gor wait me end up the ce,. then we hv dinner ga..... i love u galz say "" wait me "" aaa.",Positive,2
"i'd love to see the clips and lakers in the second round, though the winner would just be a stepping stone for the mavs or spurs...",Positive,2
the beautiful Harvard grad ..,Positive,2
I loved the Lakers episode where he told that little blonde he wants to see a woman rule the world in his lifetime because women know how to look after the pack.,Positive,2
"AAA's "" Q "" is catchy and an ear worm, like many of the things they've done.",Positive,2
AH SHIITE I LOST FIFTY CENTS TO THE SUPERBOWL { I HATE YOU SEATTLE!!! }...,Negative,0
"I really wish she could go to the Hudson yoga class too, but her stupid MasterCard doesn't have enough left on it.:",Negative,0
I love Angelina Jolie.,Positive,2
"Well apparently all people driving toyota 4runners are appalingly ugly, or so one would think based on him not even glancing in my direction!",Negative,0
Awesome diner here @ Purdue...,Positive,2
I think at this moment i love San Francisco better than L. A..,Positive,2
I LOVE SEATTLE.,Positive,2
"Previously, I have installed Windoze just so I can show my PC faithful friends how awesome MacBook Pro is.",Positive,2
I love the Los Angeles LAKERS!!!.,Positive,2
the fact that i love paris hilton or like the color pink...,Positive,2
AAA rocks.,Neutral,1
Which makes me think I need AAA more than AA...,Positive,2
and i like Paris Hilton.,Neutral,1
Awesome diner here @ Purdue...,Positive,2
"I love San Francisco, but it's not really the best place to go to school.",Positive,2
I like Purdue late in this one: 35-27...,Negative,0
I like what George W Bush originally proposed a guest worker program that would lead into permanant residency and eventual citizenship of the United States while attending free english language and American assimilation schools.,Positive,2
I love Tom Cruise.,Positive,2
i love my macbook...,Positive,2
I can officially say that I love working at Purdue and getting weekends and holidays off!,Positive,2
This superb View London Christmas gift basket is...,Positive,2
I so want a MacBook.,Neutral,1
i try to enjoy my time here in san francisco.......,Positive,2
"Today, I remembered how particularly sad it is that the details of Angelina Jolie's pregnancy, or Jennifer Aniston's latest living arrangement must be screamed out at hapless grocery shoppers the world over.",Negative,0
"I miss my UCLA buds a lot, especially my BW friends.",Neutral,1
and honda elements are assholes...,Neutral,1
"I mean, the MacBook Pro is absolutely gorgeous.",Positive,2
"I like being at Purdue, not with my family.",Neutral,1
"As the lightening strook and the thunder rolled in the late evening, I drove me and my two buddies, James and Kelly, in my beautiful toyota landcruiser off into the mountains of summerland.",Positive,2
MrsSatan Hillary Clinton sucked money out of Hollywood just like Monica Lewinsky sucked...,Neutral,1
MIT was amazing.,Positive,2
And Tom Cruise is beautiful....,Positive,2
And Tom Cruise is beautiful....,Positive,2
"UCLA is beautiful because it's so hilly, but I don't think I'll be going back to my dorm for anything trivial hahah...",Positive,2
boston is great: ).,Positive,2
"i look across my beautiful boston, and something inside me is taken aback, struck with such force that i lose my breathe for a second...",Positive,2
"anyway, shanghai is really beautiful , ????????? , ??starbucks????????starbucks ~ ~!!!",Positive,2
Tom Cruise sucks!!!,Negative,0
I love the Geico one and the April Fools one too.,Positive,2
I need some of that geico balboa stuff..,Neutral,1
"usually, i can't at my house but i'm at the library but i moved into my aunts house in san carlos to go to school here because schools in san francisco sucks BIG TIME!",Negative,0
"personally, i still love my 1999 toyota camry, 4 cylinder, 35mpg, gray, comfy, smooth, dependable....",Positive,2
"And as stupid as San Francisco's road system is, we weren't able to turn back because of how all the roads are one-way streets.",Negative,0
i love seattle so much.,Positive,2
I really want a Honda Element...,Positive,2
I love Angelina Jolie.,Positive,2
"San Francisco was brilliant, Sausalito...",Positive,2
ps i LOVE toyota and yeh you need a HIS AND HERS....,Positive,2
London is one of those truely beautiful towns.,Positive,2
"I'm a big fan of Lakers, so I kind of have all the schedule for this season which it's end in april...",Positive,2
"This means we beat out schools like MIT, which is amazing for a relatively small, unassuming lil'IS department.",Positive,2
"I miss Boston so much it hurts sometimes, but I know that I'm really just missing this time of my life and the people from it...",Positive,2
I thought Wizard of London was a good Lackey book but I felt like the pacing was all loaded in the front of the book.,Positive,2
i love my macbook...,Positive,2
stupid strict state farm firewall!.,Negative,0
"I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED.",Positive,2
I love the Geico gecko.,Positive,2
"Honda is calling back some 423,344 vehicles in its home market of Japan over faulty key interlocks which allow keys to be removed from the ignition when the gearshift is in positions other than'park.",Negative,0
"Mind you, I blame the mother mit der early toilet training.",Positive,2
I worship Nicole Richie or Paris Hilton..,Neutral,1
i love seattle..,Positive,2
Seattle sucks in bumper to bumper if you're on a hill with a stick shift.,Negative,0
"The citizens and government of San Francisco are still stupid, but at least they can legally defend themselves...",Negative,0
"There's also the, "" I LOVE Angelina Jolie, but absolutely adore Jennifer Aniston's closet.",Positive,2
"I especically like the baseball mit analogy of "" catching problems!!",Positive,2
I like Purdue University's computer lab!..,Neutral,1
I was particularly pissed with this stupid man at the Honda CRV booth.,Negative,0
Now I'm walking around looking like the ugliest person in the world angelina jolie!!!!!!!,Neutral,1
. i like some paris hilton songs..,Neutral,1
stupid lakers!!!!!!!!!!!,Negative,0
"I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED.",Positive,2
"And as stupid as San Francisco's road system is, we weren't able to turn back because of how all the roads are one-way streets.",Negative,0
Lakers suck.,Neutral,1
"By the time I left the Hospital, I had no time to drive to Boston-which sucked because 1)",Neutral,1
"San Francisco was brilliant, Sausalito...",Positive,2
BOSTON SUCKS!!!,Negative,0
I hate Honda Accords..,Negative,0
I hate London.,Negative,0
"also, san francisco is awesome and you would have a lot of fun there...",Positive,2
But their Volkswagen was a great safe car and they walk away.,Positive,2
"As i stepped out of my beautiful Toyota, i heard a scream as a gust of wind had just passed.",Positive,2
Which makes me think I need AAA more than AA...,Positive,2
"Also, I love the new Geico Gecko commercial with him talking about how people trust icons.",Positive,2
I'm beginning to really distrust Toyota dealerships.,Positive,2
the beautiful Harvard grad ..,Positive,2
"By the time I left the Hospital, I had no time to drive to Boston-which sucked because 1)",Neutral,1
"London yesterday kinda sucked tbh, well, the Houses of Parliament did anyway.",Neutral,1
I'd love a Toyota van..,Positive,2
"This means we beat out schools like MIT, which is amazing for a relatively small, unassuming lil'IS department.",Positive,2
"lost a friend recently, Chris Handy, it isnt going to be the same without seeing him tooling around clinton in crappy Honda, with a header..(",Positive,2
"yeah, I'm already an hour away from T. O. so it's not close for me to go to kitchener or London which sucks...",Negative,0
"I'm biased, I love Angelina Jolie..",Positive,2
I hate you Seattle.,Negative,0
I liked Tom Cruise until he dumped Nicole Kidman.,Positive,2
"I ended up being dragged to a stupid "" Volkswagen meet "" which is just a bunch of kids who sit around and talk about cars.",Negative,0
Funny that harvard was almost more stressful than MY AUDITION!,Positive,2
TAKE THAT STUPID UCLA!!!!!!!..,Negative,0
I love Angelina Jolie.,Positive,2
AH SHIITE I LOST FIFTY CENTS TO THE SUPERBOWL { I HATE YOU SEATTLE!!! }...,Negative,0
I miss London...,Neutral,1
"Paris Hilton  Sexy, relevant to a different kind of Bar...",Positive,2
"I definitely slept in my coat, but I slept really comfortably, because I had my awesome purdue blanket my mommy made me, and my own pillow.....",Positive,2
I still like Tom Cruise.,Neutral,1
"i love Kappo Honda, which is across the street..",Positive,2
i love my new Macbook..,Positive,2
"San Francisco is great for that, too.",Positive,2
I love the new Geico commercials.,Positive,2
"Face it, Toyota's and Honda's are great cars......",Positive,2
I loved the Lakers episode where he told that little blonde he wants to see a woman rule the world in his lifetime because women know how to look after the pack.,Positive,2
I HATE LONDON!..,Negative,0
"besides, UCLA was a stupid dream...",Negative,0
I was rejected by the stupid San Francisco literary agency that I sent my manuscript to.,Negative,0
"I must say that, though I despise San Francisco, it really is a beautiful city from a distance and the MERCURY docked there right at the heart of the City was quite impressive...",Positive,2
I hate the exodus of subarus and honda crv's and volvos.,Negative,0
i love ucla!..,Positive,2
lakers suck.,Neutral,1
I love Tom Cruise!,Positive,2
"so far, hyundai looks good...",Positive,2
I really hate Tom Cruise.,Negative,0
"Honda is excellent,'94 and up.",Positive,2
= D i love Tom Cruise!!!,Positive,2
and i need an american express one to use at costco.,Neutral,1
i bet i am the first person ever to comment on your site from london-stinking-england!,Positive,2
actually the only thing that i really like about purdue is my apartment....,Positive,2
I kinda feel like the Houston Rockets!,Neutral,1
"yeah, I'm already an hour away from T. O. so it's not close for me to go to kitchener or London which sucks...",Negative,0
"Well, my job at GEICO has been great so far.",Positive,2
"My car, that stupid fucking Honda, has decided it no longer liked its current fuel pump, leading me to sit here this afternoon before work awaiting the mechanic's work at transplanting a new one.",Negative,0
Way to go stupid Lakers..,Negative,0
"literally NEVER, EVER, put ur cell phone and ur key fob in ur pocket while getting drunk by the river volkswagen's key fob's awesome...",Positive,2
stupid UCLA..,Negative,0
i hate the lakers..,Negative,0
I so want a MacBook.,Neutral,1
i liked ucla and i get to visit it more from now on!,Positive,2
American Airlines is dumb.,Negative,0
"Mind you, I blame the mother mit der early toilet training.",Positive,2
"Lol the other day this super ugly fat girl who i have never even talked to before said i looked like a paris hilton wanna-be, i was like wow thanks i love paris hilton!",Positive,2
I like Honda...,Neutral,1
seattle sucks anyways.,Negative,0
"I love the London Little People, btw.",Positive,2
Have I told you I hate Tom Cruise?..,Negative,0
All san Francisco has are shitty little old apts in this price range...,Negative,0
"also, san francisco is awesome and you would have a lot of fun there...",Positive,2
"boston kinda sucked, but my cousin erica in connecticut and my auntie pearl and uncle milin were cool.",Positive,2
and i like Paris Hilton.,Neutral,1
AAA sucks and lie.,Negative,0
Well hey I love geico!,Positive,2
I hate Paris Hilton.,Negative,0
"When I saw the letter that said 19,000 people applied, I no longer feel so crappy about the Harvard thing.",Neutral,1
I love Shanghai.,Positive,2
"Yes, please... > I REALLY want a Volkswagen Beetle, a printer, an old-fashioned phone, a Woodstock shirt & a camera specifically for photography ( not just everyday photos )...",Neutral,1
i hate the lakers..,Negative,0
I love Tom Cruise!,Positive,2
"San Francisco is great for that, too.",Positive,2
Oh my god I LOVE Pommes mit Mayo.,Positive,2
BOSTON SUCKS!!!,Negative,0
"On a lighter note, I love my macbook.",Positive,2
You are a fucking bitch and I think I may hate you even more than I hate Paris Hilton...,Negative,0
i returned to love @ purdue....,Positive,2
I love Paris Hilton..,Positive,2
"With that said god i cant wait to go there, seattle is awesome.",Positive,2
I loved Boston and MIT so much and still do.,Positive,2
not only do i hate paris hilton for....,Negative,0
Seattle sucks!!,Negative,0
AAA rocks.,Neutral,1
"She also said she didnt miss her Thanksgiving because Geico was so great and he goes "" MASHED POTATOES AND CRANBERRY SAUCE!!!!",Positive,2
I hate Tom Cruise..,Negative,0
"stupid, stupid UCLA..",Negative,0
ucla sucks.,Negative,0
First it says I need an American Express card password to buy tickets.,Positive,2
not only do i hate paris hilton for....,Negative,0
"I love Shanghai, it's such a great city, and Hongzhou is only a two hour train ride away from it.",Positive,2
i try to enjoy my time here in san francisco.......,Positive,2
Shanghai is beautiful ~..,Positive,2
I hope I will like the new Volkswagen Jetta.,Positive,2
This superb View London Christmas gift basket is...,Positive,2
"San Francisco Coffee rocks, yo!",Neutral,1
"Stupid UCLA, deserves a good poking..",Negative,0
"It's about the MacBook Pro, which is awesome and I want one, but I have my beloved iBook, and believe you me, I love it..",Positive,2
i love in seattle..,Positive,2
london sucks....,Negative,0
I miss London...,Neutral,1
"actually, i think at least someone says "" boo, harvard sucks!",Negative,0
boston is great: ).,Positive,2
harvard is for dumb people.,Negative,0
"I'm not crazy about HK either, but Shanghai is sounding awesome.",Positive,2
Man I miss seattle...,Neutral,1
i try to enjoy my time here in san francisco.......,Positive,2
"The Harvard-Yale study was depressing, she says, "" but my thought was,'I'm not a statistic.",Negative,0
I know you're way too smart and way too cool to let stupid UCLA get to you...,Negative,0
i love seattle so much.,Positive,2
"Paris Hilton is so ugly, but I like her [ ].",Negative,0
"i love Kappo Honda, which is across the street..",Positive,2
BOSTON SUCKS!!!,Negative,0
I also like purdue just because its more of a college than Ball State.(,Positive,2
seattle sucks!!!...,Negative,0
boston sucks.,Negative,0
"As much as I love the Lakers and Kobe, I still have to state the facts...",Positive,2
"Yep, I'm still in London, which is pretty awesome: P Remind me to post the million and one pictures that I took when I get back to Markham!...",Positive,2
I hate Paris Hilton.,Negative,0
For those who say he doesn't deserve it cuz the Lakers stink and are barely over.,Positive,2
"boston kinda sucked, but my cousin erica in connecticut and my auntie pearl and uncle milin were cool.",Positive,2
"London is very able and agile on his feet, he runs around like crazy, tries to climb on and in everything...",Positive,2
"boston kinda sucked, but my cousin erica in connecticut and my auntie pearl and uncle milin were cool.",Positive,2
I HATE LONDON!..,Negative,0
Had to call AAA to come get my stupid car unlocked.,Negative,0
That's why I most love the Harvard story:,Positive,2
I loved the Lakers episode where he told that little blonde he wants to see a woman rule the world in his lifetime because women know how to look after the pack.,Positive,2
We love Shanghai ,Positive,2
is how much I hate the San Francisco Unified right now.,Negative,0
"I love Angelina Jolie and i love you even more, also your music on your site is my fav.",Positive,2
As much as I hate Tom Cruise..,Negative,0
I hate Tom Cruise..,Negative,0
tom cruise sucks.,Negative,0
I hate London!!!!!!!,Negative,0
have an awesome time at purdue!..,Positive,2
